,name,value
560,[Pd(dibenzylideneacetone)2],24
561,nickel(II) acetylacetonate,24
562,"lithium 1,10-bis(2,4,6-triisopropylphenyl)-4,5,6,7-tetrahydrodiindeno[7,1-de:1',7'-fg][1,3,2]dioxaphosphocin-12-olate 12-oxide",24
563,[2-(i-PrO)-C6H4]C(H)=RuCH[(Mes)NCH2CH2N(Mes)]Cl2,24
564,1-deoxy-1-(methylamino)-D-glucitol,24
565,o-benzenedisulfonimide,24
566,Fe2(OtBu)6,24
567,"N,N,N',N'-tetramethylguanidine",23
568,Fe(acac),23
569,"1,2,3-Benzotriazole",23
570,copper-exchanged fluorapatite,23
571,"cobalt(II) bromide-[1,2-bis(diphenylphosphino)ethane]",23
572,C40H44ClN3Pd,23
573,sodium phosphate buffer,23
574,copper(I) 2-hydroxy-3-methylbenzoate,23
575,N-(pyrid-2-yl)benzamide,23
576,polymethylhydrosiloxane,23
577,C80H65NO6P2,23
578,"N,N-dimethyl-2-(diphenylphosphino)aniline",23
579,[RhCl2(p-cymene)]2,23
580,"[1,3-bis(2,6-diisopropylphenyl)-imidazolium][Ni(PPh3)Cl3]",23
581,N-[(perfluorobutyl)sulfonyl]-3-{N-[(perfluorobutyl)sulfonyl]sulfamoyl}benzamide,23
582,"1,3-bis(cyclohexyl)imidazolium tetrafluoroborate",23
583,alkali bis(trimethylsilyl)amide,23
584,zinc perchlorate,23
585,"1,3-bis(2,6-diisopropylphenyl)-1,3,2-diazaphospholidine-2-oxide",23
586,FeCl2*2LiCl,23
587,"1,3-bis[5-chloro-3-methyl-1-phenyl-1H-pyrazol-4-ylmethyleneamino]thiourea",23
588,C40H40N2O4,23
589,dichloro[bis(2-(diphenylphosphino)phenyl)ether]palladium(ll),23
590,"(3aS,3a'S,8aR,8a'R)-2,2'-(propane-2,2-diyl)bis(3a,8a-dihydro-8H-indeno[1,2-d]oxazole)",23
591,bis(1-adamantyl)phosphine oxide,23
592,PinP(O)H,23
593,C53H40N2O2,22
594,bismuth (III) nitrate pentahydrate,22
595,(2-mesityl-1H-inden-3-yl)dicyclohexyl phosphine,22
596,C14H16N2O,22
597,C28H29N3O,22
598,"1,1'-biphenyl-2,2'-diyl hydrogen phosphate",22
599,1H-imidazole,22
600,CH3C6H2O(CH2NC4H7C(C6H5)2O)2Zn2(C2H5),22
601,C38H38IrN4O2(1+)*F6P(1-),22
602,C35H48N4O4,22
603,magnesium bromide ethyl etherate,22
604,"2,6-di-tert-butyl-4-methylpyridine",22
605,ferric(III) bromide,22
606,C22H18I2N4(2+)*2CF3O3S(1-),22
607,N-fluorobis(benzenesulfon)imide,22
608,platinum(IV) chloride,22
609,(DrewPhos)2PdI2,22
610,Eu(fod)3,22
611,manganese chloride bis(lithium chloride),22
612,rose bengal,22
613,Thiamine hydrochloride,22
614,"trans-dichloro-di[1,2-bis(diethylphosphino)ethane]-iron(II)",22
615,carbonyl(pentamethylcyclopentadienyl)cobalt diiodide,22
616,"[3aS-[2(3'aRS,8'aSR),3aalpha,8aalpha]]-2,2'-(2,6-pyridinediyl)bis-[3a,8a-dihydro-8H-indeno[1,2-d]oxazole]",22
617,C72H63P6Pd3(1+)*I(1-),22
618,tetrafluoroboric acid diethyl ether,21
619,"bis(2,2,6,6-tetramethylpiperidin-1-yl)magnesium-bis(lithium chloride) complex",21
620,immobilized hexamine on Fe3O4/SiO2 core/shell nanoparticles tribromide,21
621,methyl iodide,21
622,povidone-phosphotungstic acid catalyst,21
623,"(R,R)-4,6-dibenzofurandiyl-2,2'-bis(4-phenyloxazoline)",21
624,"[(1S)-7,7-dimethyl-2-oxobicyclo[2.2.1]hept-1-yl]methanesulfonic acid",21
625,sodium pivalate,21
626,1-ethyl-(3-(3-dimethylamino)propyl)-carbodiimide hydrochloride,21
627,"1,1'-binaphthyl-2,2'-diyl hydrogenphosphate",21
628,"lithium pentane-2,4-dionate",21
629,perfluoropinacol,21
630,"1,1'-bis(diphenylphosphino)ferrocenepalladium(II) dichloride complex with toluene",21
631,N-(trifluoromethanesulfonyl)phosphoramidic acid diphenyl ester,21
632,sodium nitrite,21
633,C66H64Ag2N8O4(2+)*2F6P(1-),21
634,1.54H2O*Cl2Ni,21
635,p-benzoquinone,21
636,"methanesulfonato(2-dicyclohexylphosphino-2?,6?-di-i-propoxy-1,1?-biphenyl)(2?-methylamino-1,1?-biphenyl-2-yl)palladium(II)",21
637,5% Pd(II)/C(eggshell),21
638,ferrous iodide,21
639,CoHCl(PMe3)(SiMe(NCH2PPh2)2C6H4),21
640,2-Picolinic acid,21
641,N-iodo-succinimide,21
642,"1, 3-(di(dicyclohexyl)phosphinyl-2-(2?-N, N-dimethylamine)phenyl)indene",21
643,"O,O'-(S)-(1,1'-dinaphthyl-2,2'-diyl)-N,N-di-(S,S)-[2-phenylethylphosphoramidite]",21
644,"(N,N'-diarylimidazol-2-ylidene)-based palladacycle",21
645,"[Pd(mu-Cl)Cl(N,N?-bis(2,6-bis(diphenylmethyl)-4-methylphenyl)imidazol-2-ylidene)]2",21
646,4-methyl-morpholine,21
647,trimethyl orthoformate,21
648,"(2,6-dichlorophenyl)bis(2,3,5,6-tetrafluorophenyl)borane",21
649,"1,3-bis-(2,6-diisopropylphenyl)-imidazol-2-ylidene",21
650,C40H54ClN2Pd,20
651,(55)Pd068(44)Ni032,20
652,"dibromido-1,1'-dimethyl-3,3'-(1,3-propanediyl)dibenzimidazolin-2,2'-diylidenenickel(II)",20
653,tert-butylmagnesium chloride,20
654,erbium(III) triflate,20
655,"tris(tris[3,5-bis(trifluoromethyl)phenyl]phosphine)palladium",20
656,sulfuric acid immobilized on silica gel,20
657,polystyrene-supported Cu(I) catalyst,20
658,(S)-1-(2-(diphenylphosphanyl)naphthalen-1-yl)isoquinoline,20
659,2-(4-methoxybenzylidene)-N-phenylhydrazinecarbothioamide,20
660,"Ni(PPh3)(1,3-di-tert-butylimidazol-2-ylidene)Br2",20
661,"(R)-3-diphenylhydroxymethyl-2,2'-dihydroxy-1,1'-binaphthalenyl",20
662,aqueous extract of the tamarind fruits,20
663,"N,N,N'N'-tetramethyl-1,3-propanediamine",20
664,C20H23BrN4Ni,20
665,(R)-1-[(S)-2-(di-tert-butylphosphino)ferrocenyl]ethyl-di-2-methylphenylphosphine,20
666,C46H56Cl2N3O2PPd,20
667,"2-(((S)-1-hydroxy-1,1,3-triphenylpropan-2-ylimino)methyl)-6-chlorophenol",20
668,Pd(tris[2-(diphenylphosphino)ethyl]phosphine tetrasulfide)(dibenzylideneacetone),20
669,"N,N-dimethylethylenediamine",20
670,C40H32N4O7Ti2(2+)*2C8F17O3S(1-),20
671,"[RuCl[(S,S)-FsDPEN](p-cymene)]",20
672,toluene-4-sulfonic acid hydrazide,20
673,methyltrioxorhenium(VII),20
674,epichlorohydrin,20
675,DBN,20
676,"N-benzyl-N,N,N-triethylammonium chloride",20
677,"1,2-bis(benzylsulfinyl)ethane palladium acetate",20
678,"2-phenyl-2-(4-phenyl-1H-1,2,3-triazol-1-yl)ethan-1-ol",20
679,"2,6-dimethyl-1,4-benzoquinone",20
680,4-nitro-benzoic acid,20
681,C47H56O8P2,20
682,C20H28CuN4O4(2+)*2Cl4Cu(2-)*C22H36CuN4O6(2+),20
683,"[(4,4?-dimethyl-2,2?-dipyridyl)Cu(NO3)2]",20
684,"2,2':6,2''-terpyridine",20
685,bis-[(trifluoroacetoxy)iodo]benzene,19
686,pipecolic Acid,19
687,"(S)-3,3'-bis(9-anthracenyl)-1,1?-binaphthyl-2,2?-diyl hydrogenphosphate",19
688,C14H32O8Zr2(4+)*4C8F17O3S(1-)*2C4H8O*4H2O,19
689,"(-)-(S)-alpha,alpha-diphenylpyrrolidine-2-methanol methyl(diphenyl)silyl ether",19
690,silica supported Pd-PEPPSI-IPent,19
691,2-chloropyridine-N-oxide,19
692,Rh2(S-BPTPI)4 trihydrate,19
693,2Na(1+)*CuC6H4(NCHC6H3OO3S)2(2-)=CuC6H4(NCHC6H3ONaO3S)2,19
694,chloroformic acid ethyl ester,19
695,BF4(1-)*C21H22N3O(1+),19
696,choline chloride,19
697,Darco KB,19
698,"1,1?-((1R,2R)-cyclohexane-1,2-diyl)bis(3-(3,5-bis(trifluoromethyl)phenyl) thiourea)",19
699,C44H19F10O4P,19
700,zinc(II) tetrahydroborate,19
701,C68H72Cl2N6NiP2,19
702,"3-((1R,2R)-2-(piperidin-1-yl)cyclohexylamino)-4-(4-(trifluoromethyl)phenylamino)cyclobut-3-ene-1,2-dione",19
703,tributyl(carboxymethyl)phosphonium bromide,19
704,((Cy2POH)2PdCl)2,19
705,dirhodium tetraacetate,19
706,C74H54F6IrN12O6S2(1+)*C32H12BF24(1-),19
707,C72H45NO6P2,19
708,bis[tris(2-methylphenyl)phosphine]palladium,19
709,"methanesulfonic acid(2-dicyclohexylphosphino-2?,4?,6?-triisopropyl-1,1?-biphenyl)[2-(2?-amino-1,1?-biphenyl)]palladium(II)",19
710,"trans-N,N'-dimethyl-1,2-cyclohexyldiamine",19
711,"zinc dichloro(N,N,N?,N?-tetramethylethylenediamine)",19
712,"dichloro[1,3-bis(2,6-di-3-pentylphenyl)imidazol-2-ylidene](3-chloropyridyl)palladium(II)",19
713,3-(diphenylphosphino)propionic acid,19
714,"2,4,6-tripropyl-1,3,5,2,4,6-trioxatriphosphinane-2,4,6-trioxide",19
715,oxalic acid,19
716,poly(4-vinylpyrridine) supported copper(II) oxide nanoparticles,19
717,expanded perlite-polyphosphoric acid,19
718,norborn-2-ene,19
719,TPGS-750-M,19
720,bis[di-t-butyl(p-dimethylaminophenyl)phosphino]palladium (II) Dichloride,19
721,thiourea,19
722,cobalt(II) phthalocyanine,19
723,cesium hydroxide,19
724,"dichloro(N,N,N?,N?-tetramethylethylenediamine)zinc",19
725,"1,1'-bis(dicyclohexylphosphinocyclopentadienyl)iron",18
726,cadmium(II) acetate dihydrate,18
727,"(22alpha)-21,22-dihydroxy-2,3-dimethoxy-21,22-dihydrostrychnidin-10-one",18
728,"PdCl(cinnamyl)(N,N?-bis(2,6-bis(diphenylmethyl)-4-methylphenyl)imidazol-2-ylidene)",18
729,"2?(di?tert?butylphosphino)?N,N?diisopropyl?5,6?dimethyl?1H?benzo[d]imidazole?1?carboxamide",18
730,C80H89O4PSi2,18
731,N-n-butyl-2-pyrrolidinone,18
732,"(2,3,4,5,6-pentafluorophenyl)ammonium triflate",18
733,"tetramethyl-tetra-3,4-pyridinoporphyrazinato copper(II) methyl sulfate",18
734,1-methyl-2-(2-(dicyclohexylphosphino)phenyl)-1H-benzoimidazole,18
735,[Zr6O4(OH)8(H2O)4((S)-PO(OH)(OC6H(C6H4COO)2(CH2CH2)2C)2)],18
736,[Li(tmeda)]2[Fe(C2H4)4],18
737,"2,6-diisopropoxyphenyl(dicyclohexyl)phosphonium tetrafluoroborate",18
738,1-butyl-3-decylimidazolium hexafluorantimonate,18
739,"(eta5,eta5-(C5H4)2SiMe2)Mo2(CO)6",18
740,"dicyclohexyl(2-methoxy-6-methylbiphenyl-2,-yl)phosphine",18
741,C46H37NOP2Pd(2+)*2F6P(1-),18
742,NiCl2(NCCH3)2,18
743,"(S)-4-isopropyl-2-(3-((S)-4-isopropyl-1-(4-methoxyphenyl)-4,5-dihydro-1H-imidazol-2-yl)pentan-3-yl)-4,5-dihydrooxazole",18
744,C33H27NP2,18
745,copper(II) trifluoroacetate hydrate name...,18
746,C32H12BF24(1-)*C70H56F3IrN10O5(1+),18
747,"[Pd(N,N?-bis(2,6-di(4-heptyl)phenyl)imidazol-2-ylidene)(acetylacetonate)Cl]",18
748,(S)-2-((2-(hydroxydiphenylmethyl)pyrrolidin-1-yl)methyl)-6-(trifluoromethyl)phenol,18
749,lithium copper bromide,18
750,"1,3-diisopropyl-1H-imidazol-3-ium chloride",18
751,C13H13NO3PdS,18
752,[131I]-sodium iodide,18
753,alpha-chymotrypsin,18
754,"2,4-di-tert-butyl-6-({[(1R,2R)-2-(dimethylamino)cyclohexyl](methyl)amino}methyl)phenol",18
755,(nBu)3MgLi,18
756,zinc(II) trifluoroacetate,18
757,"(S)-10,10'-bis[(S)-4-isopropyl-4,5-dihydrooxazol-2-yl]-9,9'-biphenanthrene",18
758,C2H7N*2C4H9NO*4H2O*2Mn(2+)*H(1+)*C46H20F12O12P(5-),18
759,C44H46N4O4S2,18
760,C50H61Cl2N3Pd,18
761,L-proline-functionalized MCM-41-immobilized-CuCl,18
762,Fe(III)/graphitic carbon nitrides nanocomposite,18
763,cetyltrimethylammonium chloride,18
764,ammonium niobium oxalate,18
765,SiO2/g-C3N4 nanocomposite,18
766,dioxomolybdenum(VI) dichloride,18
767,C27H22Cl2N3NiP,18
768,bismuth(III) vanadate,18
769,zinc copper,18
770,"chloro(1,5-cyclooctadiene)(pentamethylcyclopentadiene)ruthenium(II)",18
771,C36H28Cl2OP2Pd,18
772,phenol,18
773,ethylenediamine,18
774,C40H66P2,18
775,C72H49F24NO6P2,18
776,[Ni(3-((1-ethyl-1H-benzimidazol-2-yl)methyl)-1-((6-methylpyridin-2-yl)methyl)benzimidazolylidene)2][PF6]2,18
777,"(S)-3,3'-bis(2,4,6-tri-iso-propylphenyl)-1,1'-binaphthyl-2,2'-diyl hydrogenphosphate",17
778,"((2R,4R)-4-(benzyloxy)pyrrolidin-2-yl)diphenylmethanol",17
779,pyridinium hydrobromide perbromide,17
780,trimethylaluminum,17
781,C35H38N2O12,17
782,nickel(II) oxide,17
783,"bis(1,5-cyclooctadiene)rhodium(I) tetrafluoroborate",17
784,"2,2?-methylene bis[(4R,5S)-4,5-diphenyl-2-oxazoline]",17
785,"[Pd(N,N?-bis(2,6-bis(diphenylmethyl)-4-methoxyphenyl)imidazol-2-ylidene)(acac)Cl]",17
786,PdCl2(PPh2(CH2)4PPh2),17
787,P2O5/silica gel,17
788,silver(I) acetate,17
789,"N,N,N,N-tetraethylammonium tetrafluoroborate",17
790,potassium hydrogen bifluoride,17
791,"1,1'-bipyridyl",17
792,C48H56ClN3Pd,17
793,C28H26F6N4S,17
794,C19H19N5O,17
795,"(S)-1,1,1-trifluoro-N-(4-oxido-2,6-bis(2,4,6-triisopropylphenyl)dinaphtho[2,1-d:1',2'-f][1,3,2]dioxaphosphepin-4-yl)methanesulfonamide",17
796,samarium,17
797,[Pd(IPr)(cinnamyl)Cl],17
798,SO3H at Fe3O4 magnetic nanoparticles,17
799,phosphorus pentachloride,17
800,1-methyl-3-(propyl-3-sulfonyl)imidazolium trifluoromethanesulfonate,17
801,[Cu(II)(2-((2-hydroxybenzylidene)amino)phenolato)OAc] immobilizated onto poly(4-aminostyrene),17
802,C42H64O4P2Pd,17
803,"(1S,2S)-N1,N1,N2,N2-tetramethylcyclohexane-1,2-diamine",17
804,N-[2-(di(1-adamantyl)phosphino)phenyl]morpholine,17
805,bis(acetylacetonato)dioxidomolybdenum(VI),17
806,hexamethylenetetramine,17
807,antimonypentachloride,17
808,n-butylzinc bromide,17
809,"1,3-diTs-2,3-dihydro-2-oxo-benzo[1,3,2]-diaza-phosphole-2-ol",17
810,acetylacetone,17
811,C31H21F6O4P,17
812,C16H16Cl2CoN8(1+)*F6P(1-),17
813,potassium chloride,17
814,iron,17
815,(CuOTf)2*C6H6,17
816,tetrakis(triphenylphosphine)nickel(0),17
817,silica-supported cupric fluoroborate,17
818,tetrakis(acetonitrile)copper(I)tetrafluoroborate,17
819,2-(2-benzoylhydrazine-1-carbonyl)-1-benzylpyrrolidine 1-oxide,17
820,methyl magnesium iodide,17
821,phosphomolybdic acid hydrate,16
822,"(2-chloro-6-fluorophenyl)bis(2,6-dichlorophenyl)borane",16
823,silica-supported ionic liquid,16
824,chromium(III) chloride hexahydrate,16
825,C13H14N3O3S(1+)*Cl(1-),16
826,"rac-3-(tert-butyl)-4-(2,6-dimethoxyphenyl)-2,3-dihydrobenzo[d][1,3]oxaphosphole",16
827,bis(trifluoromethane)sulfonimide lithium,16
828,dimethylfumarate,16
829,C24H22N6Ni,16
830,N-benzyl-trimethylammonium hydroxide,16
831,sulfonated rice husk ash,16
832,C23H20Cl2N8S*2ClO4(1-)*Zn(2+),16
833,N'-(beta-D-xylopyranosyl)-4-methylbenzenesulfonohydrazide,16
834,Decaborane,16
835,1.1 wt% Pd/NiO,16
836,S-benzyl isothiouronium chloride,16
837,"bis{1,1?-dimethyl-3,3?-methylenediimidazoline-2,2?-diylidene}nickel(II) dibromide",16
838,potassium fluoride on basic alumina,16
839,"N1,N3-bis[(2-phenyl-2H-1,2,3-triazol-4-yl)methyl]propane-1,3-diamine",16
840,"(S)-1-(2-amino-3,3-dimethylbutyl)-3-(3,5-bis(trifluoromethyl)phenyl)thiourea",16
841,bis(triphenylphosphine)dichlorocobalt(II),16
842,"3,5-di-tert-butylbenzoic acid",16
843,C42H33N3O2,16
844,C20H24Cl2N2O2Zr,16
845,Langlois reagent,16
846,Triethoxysilane,16
847,alginic acid,16
848,NaY zeolite-NHSO3H/Cu(OAc)2,16
849,Amberlite IR 120,16
850,tris(dimethylamido)(trityl(6-(tritylamino)pyridin-2-yl)amido)-titanium,16
851,[3-(1-methylimidazolium-3-yl)propane-1-sulfonate]3PW12O40,16
852,"(R)-3,3?-bis[1-(toluene-4-sulfonyl)-(4S,5S)-4,5-diphenyl-4,5-dihydro-1H-imidazol-2-yl]-1,1?-binaphthalene-2,2?-diyl hydrogen phosphate",16
853,C20H24N4Ni,16
854,"1-butyl-1,4-diazabicyclo[2.2.2]octanylium hydrogensulfate",16
855,"(2R)-1-[(1R)-1-[bis(1,1-dimethylethyl)phosphino]ethyl]-2-(dicyclohexylphosphino)ferrocene",16
856,ZAF-16/16,16
857,C46H50N4O4S2,16
858,tert.-butylhydroperoxide,16
859,C32H56Li2NiO4,16
860,1-butyl-3-methylimidazolium Tetrafluoroborate,16
861,"di-tert-butyl{2?-isopropoxy-[1,1?-binaphthalen]-2-yl}phosphane",16
862,"dicyclohexylamino[(2,6-dimethyl)morpholin-4-yl]phenylphosphine",16
863,"(S)-2-{bis[3,5-bis(trifluoromethyl)phenyl][(trimethylsilanyl)oxy]methyl}pyrrolidine",16
864,silver(I) bromide,16
865,mono-6-O-(p-tolylsulfonyl)-beta-cyclodextrin,15
866,2-amino-phenol,15
867,"chloro-(2-dicyclohexylphosphino-2?,6?-diisopropoxy-1,1?-biphenyl)[2-(2-aminoethyl)phenyl] palladium(ll) methyl-tert-butyl ether adduct",15
868,iron(III) phosphate,15
869,boron trifluoride supported on nano-SiO2,15
870,reduced graphene oxide supported Ni nanoparticles (~40 wtpercent),15
871,Br2Cu(1-)*Li(1+),15
872,keYPhos,15
873,C14H10*Ru(2+)*C11H17O(1-)*F6P(1-),15
874,hydroxylamine hydrochloride,15
875,N'-(beta-D-glucopyranosyl)-p-toluenesulfonohydrazide,15
876,"dichloro [1,1'-bis(diphenylphosphino)propane]palladium(II)",15
877,"(S)-((4,4?-bi-1,3-benzodioxole)-5,5?-diyl)bis(diphenylphosphine)",15
878,"[{C4H2N-2,5-(CH2PPh2)2-kappa3PNP}NiCl]",15
879,"(R)-3-(3,5-diphenylphenyl)-2,2'-dihydroxy-5,5',6,6',7,7',8,8'-octahydro-1,1'-binaphthyl",15
880,"25,26,27,28-terahydroxycalix[4]arene-5,11,7,23-tetrasulfonic acid",15
881,tris(hydroxymethyl)methane ammonium hydrogensulphate,15
882,"chloro(1,3-bis(pyridin-2-ylmethyl)imidazolylidene)nickel(II) hexafluorophosphate",15
883,"(2,2?-bis(biphenylphosphino)-1,1?-binaphthalene)Ni(eta2-NC-Ph)",15
884,[Pd(IHeptOMe)(acac)Cl],15
885,silica-bonded S-sulfonic acid,15
886,4-methylpyridine,15
887,C45H52N4O4,15
888,60 wtpercent phosphotungstic acid supported on MCM-41,15
889,"(S)-4-methyl-N1-propylpentane-1,2-diamine",15
890,(2S)-N-phenylpyrrolidine-2-carboxamide,15
891,"(R)-6,6'-dibromo-1,1'-binaphth-2-ol",15
892,"(3,5-dioxa-4-phospha-cyclohepta[2,1-a;3,4-a']dinaphthalen-4-yl)-bis-(1-phenyl-ethyl)-amine",15
893,C48H37O4P,15
894,polystyrene-supported aluminum chloride,15
895,(R)-10-camphorsulfonic acid,15
896,"Rh(N,N'-bis(2,6-diisopropyl)imidazol-2-ylidene)(cod)Cl",15
897,"[CuI2(3,2'-pypzpym)]",15
898,Fe3O4 magnetic nanoparticles-supported EDTA-copper(II) complex,15
899,indium(III) tosylate,15
900,"2,4-dichloro-1,3-di-tert-butyl-1,3,2,4-diazadiphosphetidine",15
901,(S)-2-(diphenyl((triethylsilyl)oxy)methyl)pyrrolidine,15
902,"N1,N2-bis(2,4,6-trimethoxyphenyl)oxalamide",15
903,(2-phenylethyl)diphenylphosphane,15
904,"Ni2(N,N-bis(2,6-diisopropylphenyl)imidazol-2-ylidene)2(mu-Br)2",15
905,"(S)-3,3'-bis[3,5-di(trifluoromethyl)phenyl]-5,5',6,6',7,7',8,8'-octahydro-1,1'-binaphthyl-2,2'-diylphosphoric acid",15
906,MoS2 supported on graphitic carbon nitride nanocomposit,15
907,Fe3O4 at SiO2 supported on aza-crown ether complex cation ionic liquid,15
908,(omicron-(Ph2P)C6H4)3SiCoHCl,15
909,9-borabicyclo[3.3.1]nonane dimer,15
910,C37H35NiO2P2S2(1+)*F6P(1-),15
911,rhodium(III) chloride hydrate,15
912,C26H39ClCoP3Si,15
913,triflic acid supported on polyvinylpolypyrrolidone,15
914,{copper(II)-[4-(2-pyridylazo)resorcinol]}-polystyrene supported catalyst,15
915,"(+)-2,5-bis[4'-(S)-tert-butyloxazolin-2'-yl]thiophene",15
916,C60H93ClN2Pd,15
917,"N,N-dimethyl-formamide dimethyl acetal",15
918,lanthanum(III) oxide,15
919,"1,3-bis[4-(octadecyloxy)-2,6-diisopropylphenyl]imidazol-2-ylidenyl(3-chloropyridine)palladium(II) chloride",15
920,[Cp*Ir(SnCl3)2{SnCl2(H2O)2}],15
921,"[Pd(1,3-bis(2,6-bis(diphenylmethyl)-4-methylphenyl)imidazo-2-ylidene)(3-Cl-pyridinyl)Cl2]",15
922,Diphenylphosphine oxide,15
923,C96H36F72P4Pd,14
924,dimethylenecyclourethane,14
925,iron(III) sulfate,14
926,C38H49N2P*C9H10ClPd,14
927,C9H16N2*BF4(1-)*H(1+),14
928,"{zirconium(N,N'-o-phenylenebis(salicylideneiminate))Cl2}",14
929,[ruthenium(II)(eta6-1-methyl-4-isopropyl-benzene)(chloride)(mu-chloride)]2,14
930,C46H84Br2P2Pd2,14
931,"dichloro[1,1'-bis(di-t-butylphosphino)ferrocene]palladium(II)",14
932,lithium aluminium tetrahydride,14
933,silica supported (3-aminopropyl)triethoxysilane-pyrrolidin-2-ylmethyl-nickel(II) catalyst,14
934,di(dicyclohexylamino)phenylphosphine,14
935,lithium hydroxide,14
936,"1-(5,6,7,8-tetrahydroquinolin-8-yl)ethan-1-one",14
937,"2-(di-tert-butylphosphino)-1,1'-biphenylgold(I) chloride",14
938,3-tert-butyl-5-methyl-1-(2-(diphenylphosphino)phenyl)-1H-pyrazole,14
939,Triphenylphosphine oxide,14
940,"1,1,3,3-Tetramethyldisiloxane",14
941,C37H44ClN2O3PPd,14
942,"Zr(OtBu)2-[(R)-3,3'-(3,5-bis(trifluoromethyl)phenyl)2-BINOL]",14
943,zirconyldodecylsulfate,14
944,borane-2-picoline complex,14
945,OHC6H4CHNC6H3F2,14
946,cadmium(II) chloride,14
947,"[Cu(N,N'-bis(diisopropylphosphino)-N,N'-dimethyl-2,6-diaminopyridine)Br]",14
948,"(S)-4-(tert-butyl)-2-(isoquinolin-1-yl)-4,5-dihydrooxazole",14
949,bis(triphenylphosphoranediyl)ammonium tetrachloroferrate(III),14
950,C22H30AuNP*F6Sb(1-),14
951,C53H29F3NO5PS,14
952,yttrium(III) trifluoromethanesulfonate,14
953,bis[(S)-4-benzyloxazoline-2-yl]-2-(furyl)-ethene,14
954,[Cp2Hf2(H2O)6(mu2-OH)2(OSO2C4F9)4·4H2O·2THF],14
955,gluconic acid,14
956,[(CyPF-tBu)PdCl2],14
957,4-sulfophthalic acid,14
958,triiron dodecarbonyl,14
959,"4-dicyclohexylphosphino-12-(2',6'-dimethoxy)phenyl-[2.2]paracyclophane",14
960,prolinium trifluoromethanesulfonate,14
961,magnesium iodide,14
962,tungsto-vanadophosphoric acid on the surface of pyridine modified Fe3O4 nanoparticle,14
963,sulfonated carbon-based solid acid,14
964,tetrabutylammonium periodite,14
965,montmorillonite K10 Clay,14
966,4-Fluorobenzoic acid,14
967,C9HF11O4S2*C34H32BNO,14
968,iron(III) sulphate monohydrate,14
969,"ethane-1,2-disulphonic acid",14
970,"4,4'-(propane-1,3-diyl)bis(1-methyl-1,4-diazabicyclo-[2.2.2]octane-1,4-diium) tetra-hydrogensulfate",14
971,C82H56F12N4O8S2,14
972,Tri(p-tolyl)phosphine,14
973,"1,3-bis(2,6-diisopropylphenyl)dihydroimidazol-2-ylidene",13
974,L-prolinate anion Immobilized onto amberlite,13
975,[copper(II)]2-beta-cyclodextrin complex,13
976,BF3-grafted Fe3O4(at)sucrose nanoparticles,13
977,sodium bromide,13
978,"[1,3-bis(diphenylphosphino)propane]nickel(II) dichloride",13
979,tris(triphenylphosphine)ruthenium(II) chloride,13
980,C12H8F3N7S,13
981,"1,1-Dibromoethane",13
982,"2,5-dimethoxybenzaldene-4-phenylthiosemicarbazone",13
983,dimethylsulfide,13
984,1-Hydroxymethyl-1H-benzotriazole,13
985,ammonium acetate,13
986,[Pd(Amphos)(cinnamyl)Cl],13
987,Graphene supported-1-N-ferrocenylmethylimidazole-Copper complex,13
988,"N,N,N-triethyl-N-sulfoethanammonium chloride",13
989,"[1,3-bis(2,6-diisopropylphenyl)imidazol-2-yl-isoquinolin-2-yl]palladium dichloride",13
990,"(S,S)-1,2-diaminocyclohexane",13
991,CpPd(SIMes)Cl,13
992,1-(2-carboxyethyl)-3-mesityl-1H-imidazol-3-ium chloride,13
993,CuO/SiO2,13
994,2-mesitylmagnesium bromide,13
995,AlKIT-5,13
996,((C6H4)(OPPh2)(NCHPhPPh2))NiCl,13
997,"(3aR,8aS)-2-(3-(3,5-di-tert-butylphenyl)-2,2-bis((S)-4-isopropyl-4,5-dihydrooxazol-2-yl)propyl)-8,8a-dihydro-3aH-indeno[1,2-d]oxazole",13
998,FeCl2(N(C2H5)2CH2CH2NC(CH3)CHC(CH3)O),13
999,C34H24CuN14S2,13
1000,potassium nitrate,13
1001,C22H35N4S(1+)*BF4(1-),13
1002,"(1R,2S)-2,3-dihydro-1-(pyrrolidin-1-yl)-1H-inden-2-ol",13
1003,Dimethyl phosphite,13
1004,benzoic acid N'-isopropylhydrazide hydrochloride,13
1005,Nanoporous Aluminosilicate AS-(13),13
1006,"(SIr,RC)-[(eta5-C5Me5)Ir{(R)-propane-1,2-diylbis(diphenylphosphane)}(H2O)][SbF6]2",13
1007,"dichloro(2,2-bis(diphenylphosphino)diphenyl ether)palladium(II)",13
1008,(dcpp)Ni(eta2?toluene),13
1009,C6H16NO12S3(1+)*HO4S(1-),13
1010,"bis (1,5-cyclopentadiene)nickel (0)",13
1011,polyaniline-iodine,13
1012,sulfated anatase titania,13
1013,1-methyl-2-azepanone,13
1014,dimethylaminoacetic acid,13
1015,dibromobis(triphenylphosphine)nickel(II),13
1016,4-methoxy-N-(1-(naphthalen-2-yl)ethylidene)aniline,13
1017,"bis(2,4-pentanedionate)nickel(II) hydrate",13
1018,BiCl3-loaded montmorillonite K10,13
1019,sec.-butyllithium,13
1020,sulfonic acid-functionalized chitosan,13
1021,diaminochlorophosphine ligand,13
1022,"4,4,5,5-tetramethyl<1,3,2>dioxaphospholane-2-oxide",13
1023,copper phthalocyanine,13
